"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.493979200E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
3.005338600E-2,-2.157801390E-2,6.662726402E-3,-5.950546265E-2,6.364670213E-2
3.516953200E-2,7.918208838E-3,8.559703827E-3,-4.877948761E-2,5.015381314E-2
4.028567700E-2,9.483307600E-3,7.472515106E-3,4.474639893E-2,4.634664844E-2
4.540182300E-2,-2.039462328E-3,-2.482056618E-3,1.206388474E-1,1.206816121E-1
5.051796900E-2,2.019441128E-2,-3.483688831E-2,1.510066986E-1,1.562832239E-1
5.563411500E-2,3.367260098E-2,-2.048671246E-2,8.079624176E-2,8.989762025E-2
6.075026100E-2,1.055523753E-2,-2.512228489E-2,2.104759216E-2,3.443172045E-2
6.586640700E-2,-1.621028781E-2,-2.751493454E-2,4.449844360E-3,3.224354460E-2
7.098255200E-2,4.371404648E-4,-3.863096237E-2,4.343605042E-2,5.813116910E-2
7.609869800E-2,2.516865730E-3,-3.389358521E-2,9.673023224E-2,1.025273015E-1
8.121484400E-2,1.761174202E-2,-4.958975315E-2,1.463890076E-1,1.555604661E-1
8.633099000E-2,1.177912951E-2,-4.233300686E-2,1.225347519E-1,1.301752541E-1
9.144713600E-2,1.977172494E-2,-2.824068069E-4,6.332397461E-2,6.633948011E-2
9.656328200E-2,-1.715630293E-3,-1.259684563E-3,-1.172351837E-2,1.191516158E-2
1.016794270E-1,-1.064530015E-2,4.552721977E-3,-5.519580841E-2,5.639704743E-2
1.067955730E-1,-1.065433025E-3,1.004326344E-2,-3.323078156E-2,3.473164452E-2
1.119117190E-1,1.487916708E-2,1.731312275E-2,-8.332252502E-3,2.430144572E-2
1.170278650E-1,-3.351178765E-2,-7.643342018E-3,2.205181122E-2,4.083800885E-2
1.221440110E-1,1.380276680E-2,-4.305648804E-2,7.149410248E-2,8.459186854E-2
1.272601570E-1,2.231308818E-2,-4.315447807E-2,9.145641327E-2,1.035589610E-1
1.323763020E-1,-2.424067259E-2,-5.077779293E-2,1.085128784E-1,1.222335439E-1
1.374924480E-1,-6.831437349E-3,-9.779548645E-2,1.388864517E-1,1.700002123E-1
1.426085940E-1,2.802103758E-2,-8.867168427E-2,1.545763016E-1,1.803931239E-1
1.477247400E-1,4.116654396E-3,-7.608509064E-2,1.607952118E-1,1.779353478E-1
1.528408860E-1,-4.444506764E-2,-8.552360535E-2,1.394939423E-1,1.695529741E-1
1.579570320E-1,1.266720891E-2,-8.379197121E-2,1.238851547E-1,1.500969160E-1
1.630731770E-1,3.093245625E-2,-5.500423908E-2,1.090707779E-1,1.260107843E-1
1.681893230E-1,-2.454519272E-3,-9.039509296E-2,9.500026703E-2,1.311577227E-1
1.733054690E-1,7.002025843E-3,-6.056118011E-2,9.780406952E-2,1.152489519E-1
1.784216150E-1,4.628445208E-2,-5.771183968E-2,1.030139923E-1,1.268258237E-1
1.835377610E-1,2.986013889E-3,-7.409358025E-2,8.968925476E-2,1.163741266E-1
1.886539070E-1,-4.031419754E-3,-5.799198151E-2,6.532192230E-2,8.744298598E-2
1.937700520E-1,2.176952362E-2,-4.259479046E-2,4.409313202E-2,6.505714891E-2
1.988861980E-1,4.670441151E-3,-1.851713657E-2,3.050994873E-2,3.599380973E-2
2.040023440E-1,-2.579784393E-2,-2.090239525E-2,3.407478333E-3,3.337738437E-2
2.091184900E-1,7.531553507E-3,-2.240777016E-3,-8.970260620E-3,1.192522350E-2
2.142346360E-1,1.671621203E-2,-9.680151939E-3,-3.733539581E-2,4.203651825E-2
2.193507820E-1,-1.645889878E-2,-7.395029068E-3,-3.702259064E-2,4.118560454E-2
2.244669270E-1,-4.195213318E-3,-9.783625603E-3,-4.139614105E-2,4.274294841E-2
2.295830730E-1,7.438272238E-3,2.058267593E-2,-3.400707245E-2,4.044076432E-2
2.346992190E-1,-9.233117104E-3,-5.846500397E-3,-3.848171234E-2,4.000342739E-2
2.398153650E-1,2.139389515E-2,-1.982128620E-2,-3.118610382E-2,4.269842161E-2
2.449315110E-1,2.328974009E-2,-5.439400673E-3,-2.171421051E-2,3.230334365E-2
2.500476570E-1,-1.481679082E-2,-7.702112198E-4,-1.244831085E-2,1.936726513E-2
2.551638020E-1,-1.920863986E-2,-1.760613918E-2,-5.665779114E-3,2.666550272E-2
2.602799480E-1,2.592632174E-2,-2.990508080E-2,2.918624878E-2,4.917646932E-2
2.653960940E-1,1.134297252E-2,-6.115186214E-2,5.402660370E-2,8.238377981E-2
