"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.146578680E-1,-2.782014757E-2,2.094364166E-1,-3.172645569E-1,3.811749890E-1
1.197775030E-1,-4.314229637E-2,1.484615803E-1,-2.738084793E-1,3.144410627E-1
1.248969830E-1,-5.775416642E-2,9.560513496E-2,-1.688184738E-1,2.024242146E-1
1.300163050E-1,-2.597773075E-2,1.071844101E-1,-1.806068420E-2,1.117565594E-1
1.351354720E-1,-3.253057599E-2,6.304574013E-2,9.453582764E-2,1.181948663E-1
1.402544830E-1,-2.506558597E-2,2.460622787E-2,1.501874924E-1,1.542401793E-1
1.453733370E-1,-1.542076468E-2,-2.721619606E-2,2.111692429E-1,2.134735825E-1
1.504920870E-1,-3.590340912E-2,-2.326107025E-2,3.121671677E-1,3.150848659E-1
1.556107330E-1,-2.426251769E-3,-2.351140976E-2,4.104909897E-1,4.111709203E-1
1.607292220E-1,2.035690844E-2,-7.663011551E-2,4.115839005E-1,4.191513873E-1
1.658476080E-1,-1.725880057E-2,-1.139042377E-1,4.158821106E-1,4.315437075E-1
1.709658890E-1,2.083674073E-3,-1.060171127E-1,4.511432648E-1,4.634373908E-1
1.760840660E-1,-4.758790135E-3,-1.029584408E-1,4.909048080E-1,5.016080314E-1
1.812021390E-1,1.695965976E-2,-9.290504456E-2,4.769802094E-1,4.862397531E-1
1.863201080E-1,5.623191595E-3,-1.199371815E-1,3.852014542E-1,4.034807406E-1
1.914379720E-1,-7.926896214E-4,-1.012501717E-1,3.105792999E-1,3.266676096E-1
1.965557330E-1,2.114729583E-2,-2.846693993E-2,2.711038589E-1,2.734133814E-1
2.016734410E-1,1.214073598E-2,-2.586746216E-2,1.817293167E-1,1.839621364E-1
2.067910970E-1,-1.502854377E-2,-7.349252701E-3,5.986118317E-2,6.215488632E-2
2.119087010E-1,2.605433017E-2,-3.303527832E-3,-3.323841095E-2,4.236193314E-2
2.170262530E-1,2.169162780E-2,4.303765297E-2,-8.912849426E-2,1.013245024E-1
2.221437530E-1,-1.755264401E-2,7.495379448E-2,-1.228485107E-1,1.449755952E-1
2.272612010E-1,-1.152050495E-2,8.848762512E-2,-2.192201614E-1,2.366859967E-1
2.323785970E-1,2.018262446E-2,7.719993591E-2,-3.044233322E-1,3.147073778E-1
2.374959410E-1,-4.867315292E-4,1.119999886E-1,-3.249855042E-1,3.437438178E-1
2.426132330E-1,-3.019702435E-2,1.193678379E-1,-2.870264053E-1,3.123214664E-1
2.477304720E-1,-7.267594337E-4,1.281266212E-1,-3.300209045E-1,3.540208422E-1
2.527567220E-1,1.385886967E-2,1.123003960E-1,-3.772640228E-1,3.938674779E-1
2.577720870E-1,-2.377179265E-2,1.214675903E-1,-3.137578964E-1,3.372884392E-1
2.627875550E-1,-3.463149071E-2,1.080977917E-1,-2.472019196E-1,2.720170247E-1
2.678029720E-1,-1.258170605E-2,1.027021408E-1,-2.080135345E-1,2.323266227E-1
2.728183890E-1,-4.102587700E-4,6.047987938E-2,-1.791906357E-1,1.891223626E-1
2.778338580E-1,-7.240295410E-3,3.096437454E-2,-1.087284088E-1,1.132831905E-1
2.828492740E-1,-2.347967029E-2,4.412913322E-2,-1.607227325E-2,5.250707841E-2
2.878646910E-1,-1.780927181E-3,3.104257584E-2,5.142974854E-2,6.009852120E-2
2.928801600E-1,-2.018541098E-2,-5.684614182E-3,4.964447021E-2,5.389192034E-2
2.978955760E-1,-7.962897420E-3,-2.363824844E-2,8.334159851E-2,8.699423295E-2
3.029109930E-1,-1.477368176E-2,4.905939102E-3,1.566810608E-1,1.574524840E-1
3.079264620E-1,-3.057198226E-2,-1.252293587E-2,2.125310898E-1,2.150835515E-1
3.129418780E-1,3.552183509E-3,-4.706192017E-2,1.923904419E-1,1.980947361E-1
3.179572950E-1,3.927037120E-3,-2.777576447E-2,1.469297409E-1,1.495836337E-1
3.229727640E-1,-2.157551050E-2,-4.267740250E-2,1.872425079E-1,1.932527364E-1
3.279881800E-1,-8.753746748E-3,-1.553535461E-3,1.941518784E-1,1.943553277E-1
3.330035970E-1,1.796799898E-2,-1.585054398E-2,1.469316483E-1,1.488724219E-1
3.380190660E-1,-2.910658717E-3,-3.505086899E-2,6.991863251E-2,7.826653514E-2
3.430344830E-1,4.813671112E-3,1.187753677E-2,5.543518066E-2,5.689733355E-2
3.480499510E-1,1.477140188E-2,3.222107887E-2,2.230072021E-2,4.187737288E-2
3.530653680E-1,1.514795423E-2,4.076814651E-2,-2.691841125E-2,5.114785579E-2
3.580807850E-1,1.193031669E-3,4.246783257E-2,-8.730792999E-2,9.709590500E-2
3.630962530E-1,1.104985178E-2,5.402469635E-2,-1.162748337E-1,1.286880103E-1
3.681116700E-1,2.082982659E-2,8.255577087E-2,-1.048660278E-1,1.350785726E-1
3.731270870E-1,-7.260113955E-3,5.946063995E-2,-1.221275330E-1,1.360272446E-1
3.781425550E-1,1.934317499E-2,5.860757828E-2,-1.865539551E-1,1.964977985E-1
3.831579720E-1,4.313562065E-2,3.942966461E-2,-1.841440201E-1,1.931952389E-1
3.881733890E-1,1.923327893E-2,6.588387489E-2,-1.393957138E-1,1.553762177E-1
3.931888580E-1,9.904116392E-3,6.166172028E-2,-1.095209122E-1,1.260757291E-1
3.982042740E-1,1.485149562E-2,1.998686790E-2,-1.037521362E-1,1.066983954E-1
4.032196910E-1,2.193520963E-2,9.689331055E-3,-8.864879608E-2,9.183488229E-2
4.082351600E-1,7.988855243E-3,4.280805588E-3,-4.538631439E-2,4.628244417E-2
4.132505760E-1,5.917072296E-3,8.195161819E-3,2.101421356E-2,2.331886776E-2
4.182659930E-1,1.088793576E-2,-4.911422729E-5,3.227806091E-2,3.406497870E-2
4.232814620E-1,1.822242141E-2,-2.506470680E-2,2.456569672E-2,3.954452711E-2
4.282968780E-1,2.561540157E-2,-1.946640015E-2,7.145214081E-2,7.836132948E-2
4.333123470E-1,9.134978056E-3,-1.200199127E-2,9.423255920E-2,9.543202205E-2
4.383277640E-1,9.606555104E-3,-1.212859154E-2,9.556102753E-2,9.680546790E-2
