"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.061279320E-1,1.090431213E-2,1.890611649E-1,-2.425215542E-1,3.077007188E-1
1.112436090E-1,3.684616089E-2,2.907907963E-1,-2.098708600E-1,3.605034045E-1
1.163592860E-1,1.594514847E-1,2.167556286E-1,-1.252672821E-1,2.968158865E-1
1.214749630E-1,2.058706284E-1,1.234045029E-1,-4.806812108E-2,2.447895652E-1
1.265906400E-1,2.552423477E-1,-4.243850708E-5,2.508462965E-2,2.564720190E-1
1.317063170E-1,3.123445511E-1,-1.133515835E-1,5.806452036E-2,3.373117084E-1
1.368219940E-1,3.632602692E-1,-1.965777874E-1,5.953365564E-2,4.173069683E-1
1.419376710E-1,4.521150589E-1,-2.648885250E-1,5.889979005E-2,5.272979636E-1
1.470533490E-1,4.923906326E-1,-3.006875515E-1,1.051480472E-1,5.864449254E-1
1.521690260E-1,5.482635498E-1,-3.212215900E-1,1.252033561E-1,6.476512258E-1
1.572847030E-1,5.706539154E-1,-2.695400715E-1,9.693798423E-2,6.385097604E-1
1.624003800E-1,5.862054825E-1,-1.823787689E-1,1.672977209E-2,6.141488161E-1
1.675160570E-1,5.602493286E-1,-9.811067581E-2,-1.093485653E-1,5.791909216E-1
1.726317340E-1,4.893417358E-1,-3.036952019E-2,-1.968951225E-1,5.283420591E-1
1.777474110E-1,3.814992905E-1,7.911849022E-2,-2.377623469E-1,4.564344178E-1
1.828630880E-1,2.816581726E-1,1.501190662E-1,-2.404147685E-1,3.995826837E-1
1.879787650E-1,1.847076416E-1,2.232720852E-1,-1.872149408E-1,3.449880736E-1
1.930944420E-1,1.253767014E-1,2.569346428E-1,-1.308997124E-1,3.144351485E-1
1.982101190E-1,6.297111511E-2,2.639448643E-1,-7.870238274E-2,2.825355159E-1
2.033257960E-1,3.015708923E-2,2.404870987E-1,-1.432812214E-2,2.427937185E-1
2.084414740E-1,1.914119720E-2,1.663315296E-1,1.292324066E-2,1.679272858E-1
2.135571510E-1,1.539325714E-2,1.034471989E-1,3.415808082E-2,1.100229513E-1
2.186728280E-1,2.349567413E-2,2.604293823E-2,7.631540298E-3,3.589598504E-2
2.237885050E-1,6.422233582E-2,-1.886081696E-2,-3.515771776E-2,7.560624281E-2
2.289041820E-1,9.010982513E-2,-3.668880463E-2,-5.893097073E-2,1.137484430E-1
2.340198590E-1,5.938911438E-2,-6.325745583E-2,-5.396568775E-2,1.021805661E-1
2.391355360E-1,4.344177246E-2,-9.860396385E-2,-4.283078015E-3,1.078344752E-1
2.442512130E-1,7.937335968E-2,-1.192395687E-1,8.463993669E-2,1.663794574E-1
2.493668900E-1,1.028032303E-1,-1.607625484E-1,1.814506054E-1,2.633200018E-1
2.544825670E-1,1.702833176E-1,-1.711711884E-1,2.344495654E-1,3.365450678E-1
2.595982440E-1,2.364864349E-1,-1.931166649E-1,2.729279399E-1,4.095235531E-1
2.647139210E-1,3.273353577E-1,-1.863811016E-1,2.594302595E-1,4.573733824E-1
2.698295990E-1,4.143934250E-1,-1.886625290E-1,1.924822479E-1,4.943327587E-1
2.748677240E-1,5.024948120E-1,-1.575105190E-1,9.659506381E-2,5.353888363E-1
2.798838170E-1,5.399894714E-1,-1.358528137E-1,5.285829306E-3,5.568415899E-1
2.848999630E-1,5.443115234E-1,-7.876992226E-2,-8.857250959E-2,5.570680611E-1
2.899160570E-1,5.018625259E-1,-1.532816887E-2,-1.569807678E-1,5.260645485E-1
2.949322030E-1,3.827104568E-1,2.570486069E-2,-2.026969790E-1,4.338364887E-1
2.999482960E-1,2.680339813E-1,9.164667130E-2,-2.097640038E-1,3.524801622E-1
3.049643900E-1,1.741609573E-1,1.609630585E-1,-2.214669287E-1,3.244822734E-1
3.099805360E-1,8.885002136E-2,1.746287346E-1,-1.930811703E-1,2.750815508E-1
3.149966300E-1,9.443283081E-3,2.086012363E-1,-1.629998833E-1,2.649011388E-1
3.200127760E-1,-6.659889221E-2,1.965117455E-1,-1.242011040E-1,2.418226474E-1
3.250288690E-1,-8.519649506E-2,1.273176670E-1,-3.236890212E-2,1.565757865E-1
3.300449630E-1,-6.129741669E-2,8.230376244E-2,7.652744651E-2,1.280145799E-1
3.350611090E-1,3.039836884E-2,2.344512939E-2,1.220206767E-1,1.279170844E-1
3.400772030E-1,1.230716705E-1,-4.149150848E-2,1.381846964E-1,1.896396364E-1
3.450933490E-1,2.144250870E-1,-1.029286385E-1,1.160312667E-1,2.646425465E-1
3.501094420E-1,2.856855392E-1,-1.537845135E-1,3.500591218E-2,3.263300749E-1
3.551255360E-1,3.608665466E-1,-1.514925957E-1,-2.137953043E-2,3.919588695E-1
3.601416820E-1,3.880405426E-1,-1.510863304E-1,-5.795405805E-2,4.204297977E-1
3.651577760E-1,3.843240738E-1,-1.292235851E-1,-7.463605702E-2,4.122793588E-1
3.701739210E-1,3.524799347E-1,-8.864164352E-2,-7.168632001E-2,3.704569797E-1
3.751900150E-1,2.999019623E-1,-7.933163643E-2,-4.019580781E-2,3.128104833E-1
3.802061090E-1,2.480459213E-1,-1.602363586E-2,-3.818564117E-3,2.485922714E-1
3.852222550E-1,2.275810242E-1,1.319313049E-2,1.665927470E-3,2.279692009E-1
3.902383490E-1,2.404336929E-1,5.366444588E-2,-5.232796073E-3,2.464053887E-1
3.952544420E-1,2.153053284E-1,7.929825783E-2,-4.778592288E-2,2.343674306E-1
4.002705880E-1,2.117643356E-1,9.268808365E-2,-7.127242535E-2,2.418986840E-1
4.052866820E-1,1.798400879E-1,1.032776833E-1,-8.049953729E-2,2.224610361E-1
4.103028280E-1,1.293954849E-1,6.399917603E-2,-7.333288342E-2,1.619160210E-1
4.153189210E-1,9.133911133E-2,2.736043930E-2,-1.681537554E-2,9.682036847E-2
4.203350150E-1,3.002738953E-2,5.111217499E-3,1.059352607E-2,3.224889859E-2
4.253511610E-1,1.445007324E-2,-4.273915291E-2,1.853964105E-2,4.877661426E-2
4.303672550E-1,1.095962524E-2,-5.907249451E-2,-9.088043123E-3,6.076401501E-2
4.353834010E-1,5.226135254E-3,-4.660511017E-2,-7.190476358E-2,8.584662957E-2
4.403994940E-1,-9.786605835E-3,-1.741623878E-2,-1.265549064E-1,1.281220018E-1
4.454156400E-1,-5.059242249E-2,5.656099319E-2,-1.447069943E-1,1.633978377E-1
4.504317340E-1,-6.962394714E-2,1.013269424E-1,-1.028266996E-1,1.602746812E-1
4.554478280E-1,-1.145429611E-1,1.170270443E-1,-4.461264610E-2,1.697224417E-1
4.604639740E-1,-1.520261765E-1,1.250400543E-1,2.749424055E-2,1.987533818E-1
4.654800670E-1,-1.608266830E-1,1.160664558E-1,1.104428768E-1,2.270116147E-1
4.704962130E-1,-1.650161743E-1,5.220842361E-2,1.872313023E-1,2.549737591E-1
4.755123070E-1,-6.979751587E-2,-8.781433105E-3,2.388716936E-1,2.490150453E-1
