"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.215661520E-1,-8.414421231E-2,8.399150101E-4,-3.970507067E-3,8.424202543E-2
1.241265690E-1,-8.719844371E-2,2.061609412E-3,-5.192201585E-3,8.737721543E-2
1.266868810E-1,-8.658760041E-2,3.283303929E-3,-5.192201585E-3,8.680525092E-2
1.292470900E-1,-8.780929446E-2,8.399150101E-4,-2.748812549E-3,8.785632374E-2
1.318071940E-1,-8.903098851E-2,3.283303929E-3,-3.359660041E-3,8.915483339E-2
1.343672460E-1,-9.330692142E-2,5.115845706E-3,4.581354558E-3,9.355929816E-2
1.369272460E-1,-9.391776472E-2,8.399150101E-4,7.635590620E-3,9.423138666E-2
1.394871940E-1,-9.819369763E-2,5.726693198E-3,7.635590620E-3,9.865647223E-2
1.420470900E-1,-1.012479365E-1,2.290677221E-4,7.024743594E-3,1.014915964E-1
1.446069330E-1,-1.024696305E-1,-2.825168660E-3,3.970507067E-3,1.025854360E-1
1.471636000E-1,-1.043021679E-1,1.450762269E-3,2.748812549E-3,1.043484686E-1
1.496714130E-1,-1.110214889E-1,5.115845706E-3,2.137965523E-3,1.111598568E-1
1.521793290E-1,-1.146865711E-1,2.290677221E-4,3.359660041E-3,1.147359986E-1
1.546872460E-1,-1.183516532E-1,6.337540224E-3,-1.527118147E-3,1.185310522E-1
1.571951630E-1,-1.244601309E-1,2.672456671E-3,-1.527118147E-3,1.244981860E-1
1.597030270E-1,-1.275143623E-1,4.504998680E-3,-3.054236295E-4,1.275942824E-1
1.622109440E-1,-1.311794519E-1,4.504998680E-3,-9.162708884E-4,1.312599832E-1
1.647188600E-1,-1.385096163E-1,3.283303929E-3,-3.054236295E-4,1.385488620E-1
1.672267770E-1,-1.446180940E-1,-3.817795368E-4,-9.162708884E-4,1.446215005E-1
1.697346420E-1,-1.519482583E-1,6.948387716E-3,3.970507067E-3,1.521588585E-1
1.722425580E-1,-1.568350345E-1,3.894151188E-3,3.970507067E-3,1.569336082E-1
1.747504750E-1,-1.605001241E-1,8.399150101E-4,4.581354558E-3,1.605676932E-1
1.772583920E-1,-1.666085869E-1,3.894151188E-3,5.192201585E-3,1.667349532E-1
1.797662560E-1,-1.745496094E-1,2.061609412E-3,3.359660041E-3,1.745941113E-1
1.822741730E-1,-1.806580722E-1,3.894151188E-3,3.359660041E-3,1.807312668E-1
1.847820900E-1,-1.861557066E-1,3.894151188E-3,2.137965523E-3,1.862087066E-1
1.872899540E-1,-1.922641695E-1,2.290677221E-4,2.748812549E-3,1.922839549E-1
1.897978710E-1,-1.995943487E-1,-3.817795368E-4,2.748812549E-3,1.996136412E-1
1.923057880E-1,-2.087570578E-1,5.115845706E-3,-3.054236295E-4,2.088199567E-1
