"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.241527170E-1,4.039227590E-2,-5.344913807E-4,4.657710437E-3,4.066344673E-2
1.267129250E-1,4.039227590E-2,6.872031372E-4,-1.450762269E-3,4.042416247E-2
1.292730290E-1,3.917058185E-2,4.963133950E-3,-4.504998680E-3,3.973993198E-2
1.318330810E-1,4.100312293E-2,-1.756185899E-3,-6.948387716E-3,4.162475670E-2
1.343930810E-1,3.917058185E-2,7.635590737E-5,-5.726693198E-3,3.958706010E-2
1.369530290E-1,3.855973482E-2,2.519744914E-3,-4.504998680E-3,3.890369233E-2
1.395129250E-1,3.611634299E-2,4.352286924E-3,-8.399150101E-4,3.638733419E-2
1.420727690E-1,3.550549597E-2,1.298050396E-3,-2.061609412E-3,3.558897880E-2
1.446325610E-1,3.733803704E-2,-1.145338640E-3,-8.399150101E-4,3.736504072E-2
1.471923000E-1,3.489464894E-2,6.872031372E-4,1.603474026E-3,3.493822980E-2
1.497440710E-1,3.489464894E-2,2.519744914E-3,3.436015919E-3,3.515383115E-2
1.522519360E-1,3.428380191E-2,3.741439432E-3,4.657710437E-3,3.480045559E-2
1.547598520E-1,3.367295489E-2,6.872031372E-4,6.490251981E-3,3.429961384E-2
1.572677690E-1,3.061871976E-2,3.130592173E-3,4.046862945E-3,3.104325541E-2
1.597756860E-1,3.122956678E-2,5.573981442E-3,9.926267667E-4,3.173862660E-2
1.622836020E-1,3.184041381E-2,1.298050396E-3,-1.450762269E-3,3.189986830E-2
1.647915190E-1,3.061871976E-2,-1.756185899E-3,-2.061609412E-3,3.073825665E-2
1.672994360E-1,2.939702384E-2,1.908897655E-3,-3.283303929E-3,2.964133913E-2
1.698074040E-1,2.756448276E-2,6.872031372E-4,-8.399150101E-4,2.758583722E-2
1.723152690E-1,2.756448276E-2,1.908897655E-3,-2.061609412E-3,2.770730650E-2
1.748232380E-1,2.634278871E-2,3.741439432E-3,-1.450762269E-3,2.664668079E-2
1.773311540E-1,2.634278871E-2,-1.756185899E-3,-8.399150101E-4,2.641462026E-2
1.798390710E-1,2.512109280E-2,7.635590737E-5,9.926267667E-4,2.514081227E-2
1.823469880E-1,2.451024577E-2,-5.344913807E-4,9.926267667E-4,2.453615978E-2
1.848549040E-1,2.023431472E-2,4.963133950E-3,3.817795368E-4,2.083760895E-2
1.873628210E-1,2.084516361E-2,-1.145338640E-3,2.825168660E-3,2.106689879E-2
1.898707380E-1,1.718007959E-2,4.963133950E-3,3.436015919E-3,1.820972374E-2
1.923786540E-1,1.656923257E-2,1.298050396E-3,2.825168660E-3,1.685840979E-2
1.948865710E-1,1.595838554E-2,-5.344913807E-4,3.817795368E-4,1.597189738E-2
1.973944880E-1,1.656923257E-2,3.741439432E-3,-2.290677221E-4,1.698794599E-2
1.999024040E-1,1.534753758E-2,6.872031372E-4,-3.894151188E-3,1.584877193E-2
2.024103210E-1,1.290414855E-2,-2.367033157E-3,-8.399150101E-4,1.314630568E-2
2.049182380E-1,1.046075951E-2,-5.344913807E-4,2.214321401E-3,1.070590444E-2
2.074261540E-1,8.017370477E-3,2.519744914E-3,-2.290677221E-4,8.407128869E-3
2.099340710E-1,8.017370477E-3,1.908897655E-3,1.603474026E-3,8.396025761E-3
2.124419880E-1,8.017370477E-3,3.130592173E-3,-2.061609412E-3,8.850371184E-3
2.149499040E-1,8.017370477E-3,7.635590737E-5,-3.283303929E-3,8.663956619E-3
2.174578210E-1,5.573981442E-3,-1.145338640E-3,1.603474026E-3,5.912038452E-3
2.199657380E-1,3.741439432E-3,-5.344913807E-4,2.214321401E-3,4.380327536E-3
2.224736540E-1,3.130592173E-3,-1.145338640E-3,5.879404955E-3,6.758684086E-3
2.249815710E-1,2.519744914E-3,-2.977880416E-3,3.436015919E-3,5.198373938E-3
2.274894880E-1,1.298050396E-3,1.908897655E-3,-2.290677221E-4,2.319762296E-3
2.299974040E-1,6.872031372E-4,-2.367033157E-3,-2.672456671E-3,3.635535556E-3
2.325053210E-1,7.635590737E-5,3.130592173E-3,-3.894151188E-3,4.997084255E-3
2.350132900E-1,-1.756185899E-3,6.795675959E-3,-8.399150101E-4,7.069006852E-3
2.375211540E-1,-2.977880416E-3,6.872031372E-4,-2.061609412E-3,3.686496072E-3
2.400290710E-1,-5.421269219E-3,3.741439432E-3,3.817795368E-4,6.598051575E-3
2.425369880E-1,-4.810422193E-3,1.908897655E-3,9.926267667E-4,5.269664110E-3
2.450449560E-1,-4.199574701E-3,-5.344913807E-4,-8.399150101E-4,4.315966396E-3
2.475528730E-1,-5.421269219E-3,3.130592173E-3,-3.283303929E-3,7.069006436E-3
2.500607900E-1,-6.642963737E-3,4.352286924E-3,-2.061609412E-3,8.204974226E-3
2.525687060E-1,-6.032116711E-3,3.741439432E-3,9.926267667E-4,7.167294394E-3
2.550766230E-1,-6.032116711E-3,3.741439432E-3,2.214321401E-3,7.435591456E-3
2.575845400E-1,-6.032116711E-3,-5.344913807E-4,1.603474026E-3,6.264442673E-3
2.600924560E-1,-7.864658721E-3,1.298050396E-3,3.817795368E-4,7.980197193E-3
2.626003730E-1,-7.253811229E-3,-5.344913807E-4,-2.061609412E-3,7.560006068E-3
2.651082900E-1,-7.864658721E-3,4.352286924E-3,3.817795368E-4,8.996722396E-3
2.676162060E-1,-7.864658721E-3,7.635590737E-5,-8.399150101E-4,7.909749948E-3
2.701241230E-1,-9.086352773E-3,2.519744914E-3,9.926267667E-4,9.481362194E-3
2.726320400E-1,-1.091889478E-2,2.519744914E-3,-8.399150101E-4,1.123729660E-2
2.751399560E-1,-1.030804776E-2,1.298050396E-3,3.817795368E-4,1.039646762E-2
2.776478730E-1,-1.030804776E-2,7.635590737E-5,-2.290677221E-4,1.031087537E-2
2.801557900E-1,-9.697199799E-3,4.963133950E-3,-1.450762269E-3,1.098968124E-2
2.826637060E-1,-9.086352773E-3,6.872031372E-4,-2.061609412E-3,9.342606073E-3
2.851716230E-1,-9.086352773E-3,1.298050396E-3,-1.450762269E-3,9.292548235E-3
2.876795400E-1,-1.030804776E-2,1.298050396E-3,2.214321401E-3,1.062280578E-2
2.901875090E-1,-1.030804776E-2,4.352286924E-3,2.825168660E-3,1.154035649E-2
2.926953730E-1,-8.475505747E-3,-1.756185899E-3,1.603474026E-3,8.802812933E-3
2.952033420E-1,-7.253811229E-3,1.298050396E-3,2.214321401E-3,7.694539066E-3
2.977112060E-1,-9.086352773E-3,6.184828468E-3,1.603474026E-3,1.110788183E-2
3.002191750E-1,-9.086352773E-3,2.519744914E-3,-2.290677221E-4,9.432040774E-3
3.027270920E-1,-9.086352773E-3,1.298050396E-3,-8.399150101E-4,9.216951707E-3
3.052350090E-1,-9.697199799E-3,1.908897655E-3,3.817795368E-4,9.890668826E-3
3.077429250E-1,-9.086352773E-3,1.298050396E-3,9.926267667E-4,9.232120528E-3
3.102508420E-1,-7.864658721E-3,6.872031372E-4,9.926267667E-4,7.956784077E-3
3.127587590E-1,-7.253811229E-3,6.184828468E-3,-2.061609412E-3,9.752954111E-3
3.152666750E-1,-6.642963737E-3,3.130592173E-3,-2.061609412E-3,7.627568940E-3
3.177745920E-1,-6.032116711E-3,-1.756185899E-3,-2.061609412E-3,6.612174702E-3
3.202825090E-1,-6.642963737E-3,4.352286924E-3,3.817795368E-4,7.950919714E-3
3.227904250E-1,-6.642963737E-3,3.130592173E-3,9.926267667E-4,7.410457642E-3
