"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.168753680E-1,-2.120403498E-1,4.275931045E-3,-6.337540224E-3,2.121781279E-1
1.194357850E-1,-2.181488276E-1,6.108472589E-3,-7.559234742E-3,2.183652134E-1
1.219960970E-1,-2.205922157E-1,6.719320081E-3,-5.115845706E-3,2.207538148E-1
1.245563060E-1,-2.230356038E-1,3.665083554E-3,-3.283303929E-3,2.230898776E-1
1.271164100E-1,-2.291440815E-1,3.054236295E-3,1.603474026E-3,2.291700451E-1
1.296764620E-1,-2.334200144E-1,7.941014133E-3,1.603474026E-3,2.335605573E-1
1.322364620E-1,-2.383067906E-1,3.054236295E-3,8.322793990E-3,2.384716413E-1
1.347964100E-1,-2.425827235E-1,4.275931045E-3,8.933641016E-3,2.427848250E-1
1.373563060E-1,-2.511345744E-1,6.719320081E-3,6.490251981E-3,2.513082711E-1
1.399161490E-1,-2.572430372E-1,4.275931045E-3,5.268557463E-3,2.573325115E-1
1.424556810E-1,-2.639623582E-1,7.330167107E-3,4.657710437E-3,2.641051915E-1
1.449635450E-1,-2.700708508E-1,8.551862091E-3,2.825168660E-3,2.702209844E-1
1.474715140E-1,-2.755684555E-1,6.108472589E-3,3.817795368E-4,2.756364142E-1
1.499794310E-1,-2.828986347E-1,1.099525020E-2,-1.450762269E-3,2.831159440E-1
1.524873470E-1,-2.896179557E-1,7.941014133E-3,-3.283303929E-3,2.897454056E-1
1.549953160E-1,-2.945047319E-1,4.275931045E-3,-2.061609412E-3,2.945429866E-1
1.575032330E-1,-2.969481349E-1,7.941014133E-3,3.817795368E-4,2.970545409E-1
1.600111490E-1,-3.030565977E-1,4.275931045E-3,-2.061609412E-3,3.030937730E-1
1.625191180E-1,-3.036674559E-1,6.719320081E-3,1.603474026E-3,3.037460192E-1
1.650270350E-1,-3.061108291E-1,7.941014133E-3,3.436015919E-3,3.062330903E-1
1.675349510E-1,-3.079433739E-1,4.275931045E-3,5.879404955E-3,3.080291748E-1
1.700428680E-1,-3.109976053E-1,8.551862091E-3,6.490251981E-3,3.111828534E-1
1.725508370E-1,-3.140518367E-1,3.054236295E-3,4.657710437E-3,3.141012238E-1
1.750587530E-1,-3.171060979E-1,1.099525020E-2,4.046862945E-3,3.173224700E-1
1.775666700E-1,-3.183277845E-1,1.221694518E-3,2.214321401E-3,3.183378302E-1
1.800746390E-1,-3.238253891E-1,7.330167107E-3,2.825168660E-3,3.239206625E-1
1.825825560E-1,-3.268796504E-1,1.099525020E-2,2.214321401E-3,3.270720174E-1
1.850904720E-1,-3.293230236E-1,3.665083554E-3,4.046862945E-3,3.293682799E-1
1.875984410E-1,-3.305447102E-1,8.551862091E-3,3.817795368E-4,3.306555391E-1
1.901063580E-1,-3.360423446E-1,7.330167107E-3,3.817795368E-4,3.361224992E-1
1.926142740E-1,-3.354314864E-1,7.941014133E-3,-8.399150101E-4,3.355265224E-1
1.951222430E-1,-3.348206580E-1,8.551862091E-3,3.817795368E-4,3.349300720E-1
1.976301600E-1,-3.378748894E-1,8.551862091E-3,9.926267667E-4,3.379845566E-1
2.001380760E-1,-3.366532028E-1,4.275931045E-3,4.046862945E-3,3.367046772E-1
2.026460450E-1,-3.378748894E-1,8.551862091E-3,4.657710437E-3,3.380151912E-1
2.051539620E-1,-3.378748894E-1,8.551862091E-3,3.436015919E-3,3.380005642E-1
2.076618780E-1,-3.384857476E-1,5.497625098E-3,4.657710437E-3,3.385624307E-1
2.101698470E-1,-3.397074342E-1,9.773556143E-3,3.436015919E-3,3.398653696E-1
2.126777640E-1,-3.403182924E-1,1.832541777E-3,3.436015919E-3,3.403405714E-1
2.151856810E-1,-3.415399790E-1,3.054236295E-3,3.817795368E-4,3.415538484E-1
2.176936490E-1,-3.439833522E-1,6.108472589E-3,3.436015919E-3,3.440547431E-1
2.202015660E-1,-3.482593000E-1,1.038440317E-2,2.825168660E-3,3.484255407E-1
2.227094830E-1,-3.464267552E-1,6.108472589E-3,9.926267667E-4,3.464820276E-1
2.252173990E-1,-3.507026732E-1,8.551862091E-3,3.436015919E-3,3.508237528E-1
2.277253680E-1,-3.519243896E-1,5.497625098E-3,2.825168660E-3,3.519786662E-1
2.302332850E-1,-3.537569046E-1,7.941014133E-3,9.926267667E-4,3.538474142E-1
2.327412010E-1,-3.568111658E-1,7.330167107E-3,2.214321401E-3,3.568933211E-1
2.352491700E-1,-3.604762256E-1,7.941014133E-3,2.214321401E-3,3.605704815E-1
2.377570870E-1,-3.647521734E-1,6.108472589E-3,4.657710437E-3,3.648330518E-1
2.402650030E-1,-3.726931810E-1,8.551862091E-3,3.436015919E-3,3.728071187E-1
2.427729720E-1,-3.806341887E-1,9.162709117E-3,1.603474026E-3,3.807478325E-1
2.452808890E-1,-3.861318231E-1,8.551862091E-3,4.657710437E-3,3.862545966E-1
2.477888060E-1,-3.952945471E-1,8.551862091E-3,4.046862945E-3,3.954077521E-1
2.502967740E-1,-4.038463831E-1,7.330167107E-3,5.268557463E-3,4.039472616E-1
2.528046910E-1,-4.148416519E-1,9.773556143E-3,5.268557463E-3,4.149902122E-1
2.553126080E-1,-4.258368909E-1,9.162709117E-3,4.657710437E-3,4.259609221E-1
2.578205760E-1,-4.368321598E-1,7.941014133E-3,3.436015919E-3,4.369178432E-1
2.603284930E-1,-4.490490854E-1,6.719320081E-3,3.817795368E-4,4.490995169E-1
2.628364100E-1,-4.618768692E-1,1.160609815E-2,3.436015919E-3,4.620354424E-1
2.653443780E-1,-4.765372276E-1,9.162709117E-3,3.436015919E-3,4.766376934E-1
2.678522950E-1,-4.899758697E-1,9.162709117E-3,5.268557463E-3,4.900898548E-1
2.703602120E-1,-5.034145117E-1,4.275931045E-3,4.657710437E-3,5.034542168E-1
2.728681810E-1,-5.180748105E-1,5.497625098E-3,4.657710437E-3,5.181249149E-1
2.753760970E-1,-5.315134525E-1,1.099525020E-2,6.490251981E-3,5.316667839E-1
2.778840140E-1,-5.437304378E-1,6.108472589E-3,5.879404955E-3,5.437965334E-1
2.803919830E-1,-5.590016246E-1,8.551862091E-3,2.825168660E-3,5.590741742E-1
2.828998990E-1,-5.718293786E-1,1.099525020E-2,4.046862945E-3,5.719493954E-1
2.854078160E-1,-5.901548266E-1,9.773556143E-3,6.490251981E-3,5.902714335E-1
2.879157850E-1,-6.097019315E-1,1.038440317E-2,5.268557463E-3,6.098131179E-1
2.904237010E-1,-6.335249543E-1,9.773556143E-3,7.101099472E-3,6.336401311E-1
2.929316180E-1,-6.634564996E-1,1.038440317E-2,4.657710437E-3,6.635541100E-1
2.954395350E-1,-6.915554404E-1,9.162709117E-3,5.268557463E-3,6.916362050E-1
2.979475030E-1,-7.257629037E-1,8.551862091E-3,7.101099472E-3,7.258480229E-1
3.004554200E-1,-7.605811954E-1,1.343864016E-2,5.268557463E-3,7.607181538E-1
3.029633890E-1,-7.923452258E-1,1.588202827E-2,5.268557463E-3,7.925218946E-1
3.054713060E-1,-8.247201443E-1,1.038440317E-2,7.711946499E-3,8.248215724E-1
3.079792220E-1,-8.540408015E-1,1.221694518E-2,8.322793990E-3,8.541687265E-1
3.104871910E-1,-8.858048916E-1,1.404948719E-2,8.322793990E-3,8.859553956E-1
3.129951080E-1,-9.169580936E-1,1.771457121E-2,8.933641016E-3,9.171726999E-1
3.155030240E-1,-9.548306465E-1,1.221694518E-2,2.825168660E-3,9.549129797E-1
3.180109930E-1,-1.004309297E0,1.343864016E-2,2.825168660E-3,1.004403177E0
3.205189100E-1,-1.055009604E0,2.321219631E-2,1.198787708E-2,1.055333018E0
3.230268260E-1,-1.101433992E0,1.710372418E-2,9.544488043E-3,1.101608131E0
3.255347950E-1,-1.146025777E0,1.527118124E-2,8.933641016E-3,1.146162336E0
3.280427120E-1,-1.194282770E0,1.771457121E-2,1.320957206E-2,1.194487184E0
3.305506280E-1,-1.243761420E0,1.771457121E-2,1.443126611E-2,1.243971277E0
3.330585450E-1,-1.295148849E0,1.771457121E-2,1.137703005E-2,1.295319955E0
3.355665140E-1,-1.350125194E0,2.137965336E-2,1.259872504E-2,1.350353234E0
3.380744310E-1,-1.408766508E0,2.199050039E-2,1.504211407E-2,1.409018425E0
3.405823990E-1,-1.467407823E0,2.443389036E-2,1.626380906E-2,1.467701347E0
3.430903160E-1,-1.525438309E0,2.137965336E-2,1.504211407E-2,1.525662279E0
3.455982330E-1,-1.585912228E0,2.443389036E-2,1.565296017E-2,1.586177677E0
